country;continent;year;lifeExp;pop;gdpPercap
Tanzania;Africa;1967;45.757;12607312;8482186575
Ghana;Africa;1987;55.729;14168101;8470061135
Mauritania;Africa;1957;42.338;1076852;8461202613
Turkey;Europe;2007;71.777;71158647;8458276384
Poland;Europe;1982;71.32;36227381;8451531004
Croatia;Europe;1992;72.527;4494013;8447794873
Poland;Europe;1994;71.82;38548296;8414155074
Slovak Republic;Europe;1967;70.98;4442238;8412902397
Israel;Asia;1967;70.75;2693585;8393741404
Belgium;Europe;1951;66.8;8678386;8393415992
Guinea-Bissau;Africa;1982;39.327;825987;8381239671
Hungary;Europe;1964;69.48;10124000;8362477399
Afghanistan;Asia;1967;34.02;11537966;8361971382
Gabon;Africa;1967;44.598;489004;8358761987
Austria;Europe;1956;67.72;6952359;8348449465
Iraq;Asia;1962;51.457;7240260;8341737815
Tanzania;Africa;1987;51.535;23040630;8318220794
Hong Kong  China;;1972;72.0;4115700;8315928145
Estonia;Europe;1973;70.7;1410836;8313114403
Bulgaria;Europe;1984;71.35;8928271;8301979654
Latvia;FSU;1980;69.19;2524543;8278288323
Iran;Asia;1997;68.042;63327987;8263590301
Czech Republic;Europe;1957;69.03;9513758;8256343918
Yemen  Rep.;Asia;1962;35.18;6120081;8256232006
Bulgaria;Europe;1987;71.34;8971958;8239854824
Mozambique;Africa;2007;42.082;19951656;8236856205
Bulgaria;Europe;1986;71.55;8958770;8236461605
France;Europe;1956;68.5;43843075;8224217165
Bulgaria;Europe;1982;71.08;8892098;8224191647
Iceland;Europe;1953;72.31;151036;8211292176
Afghanistan;Asia;1957;30.332;9240934;8208530296
Vietnam;Asia;1987;62.82;62826491;8207994449
Estonia;Europe;1995;67.72;1446509;8199116863
Lithuania;FSU;1993;69.01;3689004;8190015322
Russia;FSU;1994;63.93;148446239;8189537608
Bulgaria;Europe;1988;71.4;8982025;8179010541
Japan;Asia;1965;70.33;98882534;8170007443
Uruguay;Americas;1992;72.752;3149262;8137004775
Ukraine;FSU;1990;70.46;51622275;8123203645
Bulgaria;Europe;2003;72.35;7588399;8105388755
Slovak Republic;Europe;1966;70.44;4408988;8097451214
Kuwait;Asia;1967;64.624;575003;8089488326
Burkina Faso;Africa;1982;48.122;6634596;8071985855
Bulgaria;Europe;1979;71.27;8811589;8062600739
Bulgaria;Europe;1983;71.25;8910284;8052372566
Yemen  Rep.;Asia;1957;33.97;5498090;8048304547
Bulgaria;Europe;1985;71.07;8943573;8037950013
Pakistan;Asia;1962;47.67;53100671;8033427418
Liberia;Africa;1972;42.614;1482628;8030054535
Latvia;FSU;1999;69.99;2393657;8028968025
South Africa;Africa;1977;55.527;27129932;8028651439
Bulgaria;Europe;1989;71.46;8990055;8025266041
Poland;Europe;1993;71.51;38467746;8007930474
Spain;Europe;1967;71.44;32850275;7993512294
Serbia;Europe;1967;66.914;7971222;7991707066
Suriname;Americas;2007;70.199;439894;7987271406
Bulgaria;Europe;1981;71.49;8869441;7987015204
Chad;Africa;1982;49.517;4875118;7979081006
Lesotho;Africa;1982;55.078;1411807;7972631074
Botswana;Africa;1992;62.745;1342614;7954111645
Burkina Faso;Africa;1967;40.697;5127935;7948265597
Guinea;Africa;1992;48.576;6990574;7943484384
Hungary;Europe;1963;68.98;10091000;7942533059
Mali;Africa;1997;49.903;9384984;7902579846
Tanzania;Africa;1997;48.466;30686889;7891862231
Zimbabwe;Africa;1982;60.363;7636524;7888550411
Romania;Europe;2002;71.322;22404337;7885360081
Mongolia;Asia;1952;42.244;800663;7865668575
France;Europe;1955;68.47;43427669;7851776992
Russia;FSU;1995;64.62;148495015;7851186848
South Africa;Africa;1987;60.834;35933379;7825823398
Austria;Europe;1955;67.6;6946885;7817250888
Yemen  Rep.;Asia;1952;32.548;4963829;7817175761
Congo  Dem. Rep.;Africa;1952;39.143;14100005;7805423257
Slovak Republic;Europe;1965;70.3;4369939;7804175584
Lithuania;FSU;1995;69.02;3673577;7804174479
Japan;Asia;1964;70.28;97826267;7803680953
Bulgaria;Europe;1980;71.1;8843528;7802845798
Afghanistan;Asia;1952;28.801;8425333;7794453145
Russia;FSU;1999;65.99;147369604;7791944796
Bulgaria;Europe;1978;71.17;8803281;7771118048
Portugal;Europe;1970;67.17;9044200;7769405655
Nepal;Asia;1987;52.537;17917180;7756324501
Poland;Europe;1992;70.99;38370697;7738881247
Estonia;Europe;1994;66.66;1467535;7733631213
Estonia;Europe;1993;68.2;1491426;7733482692
Bulgaria;Europe;1976;71.38;8755037;7722871137
South Africa;Africa;2002;53.365;44433622;7710946444
Bulgaria;Europe;2002;72.14;7661799;7696777725
Venezuela;Americas;1952;55.088;5439568;7689799761
Mexico;Americas;1977;65.032;63759976;7674929108
Reunion;;2007;76.442;798094;7670122558
Cape Verde;Africa;1967;55.48;246787;7658281051
Ireland;Europe;1967;71.08;2900100;7655568963
Eritrea;Africa;2002;55.24;4414865;7653500015
Indonesia;Asia;1967;45.964;109343000;7624317721
Bulgaria;Europe;1977;70.81;8797022;7612240438
Iran;Asia;1982;59.62;43072751;7608334602
Latvia;FSU;1998;69.2;2413173;7604973664
Uganda;Africa;1950;40.0;5521758;7598798137
Chile;Americas;1992;74.126;13572994;7596125964
Malawi;Africa;2007;48.303;13327079;7593499101
Slovak Republic;Europe;1964;71.09;4326174;7578137275
Thailand;Asia;1952;50.848;21289402;7577974177
Russia;FSU;1996;65.89;148318876;7577532295
Poland;Europe;1991;70.45;38253222;7572207653
Gambia;Africa;1972;38.308;517101;7560868363
Hungary;Europe;1962;67.96;10063000;7550359877
Finland;Europe;1957;67.49;4324000;7545415386
Gambia;Africa;2007;59.448;1688359;7527497265
Finland;Europe;1958;68.63;4359800;7523807653
Poland;Europe;1971;69.67;32777810;7522538545
Bangladesh;Asia;1987;52.819;103764241;7519794035
Indonesia;Asia;1952;37.468;82052000;7496816546
Czech Republic;Europe;1955;68.97;9365969;7495881059
Lebanon;Asia;1972;65.421;2680018;7486384341
France;Europe;1954;68.21;43056505;7485855759
Slovak Republic;Europe;1962;70.33;4237384;7481107598
South Africa;Africa;1997;60.236;42835005;7479188244
Central African Republic;Africa;1992;49.396;3265124;7479055252
Pakistan;Asia;1957;45.557;46679944;7470835292
Lesotho;Africa;1977;52.208;1251524;7453695408
Uruguay;Americas;1987;71.918;3045153;7452398969
Bosnia and Herzegovina;Europe;2007;74.852;4552198;7446298803
Burkina Faso;Africa;1977;46.137;5889574;7433870368
Mauritania;Africa;1952;40.543;1022556;7431159097
Slovak Republic;Europe;1961;70.79;4191642;7424430114
Guinea;Africa;1972;38.842;3811387;7416662307
Peru;Americas;2007;71.421;28674757;7408905561
Lithuania;FSU;1994;68.58;3679636;7406201416
Central African Republic;Africa;1997;46.066;3696513;7405063317
Jamaica;Americas;1992;71.766;2378618;7404923685
Slovenia;Europe;1962;69.15;1582962;7402303395
Ukraine;FSU;1991;69.64;51730355;7400989699
Aruba;;1977;71.83;59412;7390359942
Trinidad and Tobago;Americas;1987;69.582;1191336;7388597823
Central African Republic;Africa;2002;43.308;4048013;7386906068
Trinidad and Tobago;Americas;1992;69.862;1183669;7370990932
Rwanda;Africa;1992;23.599;7290203;7370685949
Guinea-Bissau;Africa;1987;41.245;927524;7364153921
Gambia;Africa;1967;35.857;439593;7347829124
Russia;FSU;1998;67.13;147826912;7300601624
Malaysia;Asia;1992;70.693;18319502;7277912802
Hungary;Europe;1961;69.02;10029000;7272793578
Iceland;Europe;1952;72.49;147962;7267688428
Afghanistan;Asia;2002;42.129;25268405;7267340548
Bulgaria;Europe;2001;71.9;7738416;7264607226
Brunei;Asia;1977;69.66;167216;7255522854
Mozambique;Africa;1972;40.328;9809596;7249178037
Bulgaria;Europe;1990;71.31;8894028;7225877958
Burkina Faso;Africa;1962;37.814;4919632;7225120206
Tanzania;Africa;1962;44.246;10863958;7220038073
Ecuador;Americas;1982;64.342;8365850;7213791267
Slovak Republic;Europe;1960;70.35;3994270;7205561032
Maldives;;1972;51.44;122681;7193213789
Nepal;Asia;1982;49.594;15796314;7183730947
Tanzania;Africa;1952;41.215;8322925;7166500721
Qatar;Asia;1977;64.956;188947;7161582982
Spain;Europe;1965;70.99;32084511;7136520325
Thailand;Asia;1950;45.2;20041628;7123980906
Panama;Americas;1997;73.738;2734531;7113692252
West Bank and Gaza;Asia;1997;71.096;2826046;7110667619
Israel;Asia;1962;69.39;2310904;7105630706
Tunisia;Africa;2007;73.923;10276158;7092923025
Guinea;Africa;1967;37.197;3451418;7087595409
Vietnam;Asia;1982;58.816;56142181;7072357863
Japan;Asia;1963;69.81;96811940;7061483649
Austria;Europe;1954;67.32;6940209;7045971274
Panama;Americas;1987;71.523;2253639;7034779161
France;Europe;1952;67.41;42459667;7029809327
Panama;Americas;1982;70.472;2036305;7009601598
Colombia;Americas;2007;72.889;44227550;7006580419
Vietnam;Asia;1972;50.254;44655014;6995016441
Jamaica;Americas;2002;72.047;2664659;6994774861
Guadeloupe;;2002;78.405;435739;6987870004
Tanzania;Africa;1957;42.974;9452826;6985356073
Maldives;;1977;54.58;140721;6980381402
Croatia;Europe;1967;68.5;4174366;6960297861
Cape Verde;Africa;1962;52.98;209878;6958088512
Zimbabwe;Africa;1992;60.377;10704340;6934207856
Puerto Rico;Americas;1967;71.1;2648961;6929277714
France;Europe;1951;66.12;42155534;6913756537
Ethiopia;Africa;2007;52.947;76511887;6908055759
Bulgaria;Europe;2000;71.59;7818495;6907013722
Poland;Europe;1968;70.25;32034813;6900037897
Lebanon;Asia;1992;69.292;3219994;6890806854
Italy;Europe;1959;69.32;49832000;6885772019
Mali;Africa;1977;41.714;6491649;6863952693
Guinea;Africa;1962;35.753;3140003;6863736739
Zimbabwe;Africa;1977;57.674;6642107;6855876821
Bangladesh;Asia;1952;37.484;46886859;6842441716
Mali;Africa;1987;46.364;7634008;6841715576
Cambodia;Asia;1992;55.803;10150094;6823031755
Poland;Europe;1969;69.74;32280848;6778281725
Czech Republic;Europe;1953;67.56;9220908;6774039587
Nepal;Asia;1967;41.472;11261690;6764422254
Libya;Africa;1962;47.808;1441863;6757030816
Nepal;Asia;1972;43.971;12412593;6747881296
Slovak Republic;Europe;1959;69.03;3946039;6742238031
Congo  Dem. Rep.;Africa;1982;47.784;30646495;6737478181
Czech Republic;Europe;1951;65.25;9023170;6734885719
Luxembourg;Europe;2004;79.27;462690;6728343435
Equatorial Guinea;Africa;1972;40.516;277603;6724122571
Bulgaria;Europe;1991;71.18;8772368;6710698795
Rwanda;Africa;1977;45.0;4657072;6700806011
Czech Republic;Europe;1950;64.43;8925122;6690749648
Grenada;;1997;66.986;90005;6690021834
Niger;Africa;1987;44.555;7332638;6683000228
Cape Verde;Africa;1977;59.98;285691;6677823441
Costa Rica;Americas;1997;77.26;3518107;6677045314
Kazakhstan;FSU;2002;64.878;15077224;6667304371
Brazil;Americas;1977;61.489;114313951;6660118654
Taiwan;Asia;1979;71.31;17450136;6656700817
Gambia;Africa;1992;52.644;1025384;6656244126
Latvia;FSU;1974;70.11;2442473;6651164666
Ukraine;FSU;1992;69.0;51869109;6650453507
Jamaica;Americas;1977;70.11;2156814;6650195573
Iran;Asia;1987;63.04;51889696;6642881371
Ukraine;FSU;1973;71.05;48367002;6636820578
Malawi;Africa;1977;43.767;5637246;6632236766
Ireland;Europe;1962;70.29;2830000;6631597314
Gabon;Africa;1962;40.489;455661;6631459222
Suriname;Americas;1977;65.1;360780;6622717308
Bangladesh;Asia;1957;39.348;51365468;6616374577
Gambia;Africa;2002;58.041;1457766;6605855997
Turkey;Europe;1997;68.835;63047647;6601429915
Romania;Europe;1992;69.36;22797027;6598409903
Bulgaria;Europe;1972;70.9;8576200;6597494398
France;Europe;1950;66.39;41828673;6595926631
India;Asia;1962;43.605;454000000;6583471509
Japan;Asia;1962;68.73;95831757;6576649461
Poland;Europe;1967;69.61;31785378;6557152776
Bulgaria;Europe;1994;70.85;8353335;6550710885
Belarus;FSU;2002;68.16;10335382;6545789965
Gambia;Africa;1997;55.861;1235767;6537301704
Luxembourg;Europe;2003;77.96;456764;6530834204
Nepal;Asia;1962;39.393;10332057;6523968593
Italy;Europe;1958;68.87;49476000;6518368168
Georgia;;1987;70.45;5239970;6514539988
Turkey;Europe;2002;70.845;67308928;6508085718
Slovak Republic;Europe;1958;69.35;3899751;6502623726
Bulgaria;Europe;1999;71.57;7893227;6491099672
Romania;Europe;1967;66.8;19284814;6470866545
Montenegro;Europe;1997;75.445;692651;6465613349
Saudi Arabia;Asia;1952;39.875;4005677;6459554823
Finland;Europe;1952;66.55;4090500;6424519071
Hungary;Europe;1958;67.42;9882000;6416726703
Austria;Europe;1953;67.29;6932483;6399786948
Latvia;FSU;1973;70.2;2421355;6395096187
Finland;Europe;1953;66.61;4139400;6393115429
Poland;Europe;1966;69.91;31532016;6378941971
Vietnam;Asia;1967;47.838;39463910;6371232887
Portugal;Europe;1967;66.6;9103000;6361517993
Peru;Americas;1987;64.134;20195924;6360943444
Jamaica;Americas;1987;71.77;2326606;6351237495
Liberia;Africa;1962;40.502;1112796;6341951625
Cuba;Americas;2002;77.158;11226999;6340646683
Mozambique;Africa;2002;44.026;18473780;6336179466
Bulgaria;Europe;1971;70.87;8536395;6328504247
Malawi;Africa;1982;45.642;6502825;6328039209
Burundi;Africa;1992;44.736;5809236;6316998778
Bangladesh;Asia;1972;45.252;70759295;6302336265
Serbia;Europe;1962;64.531;7616060;6289629157
Bulgaria;Europe;1998;70.91;7971774;6282641215
Finland;Europe;1951;65.67;4047300;6282553916
Taiwan;Asia;1978;71.16;17111535;6252784539
Bulgaria;Europe;1996;70.85;8161026;6250966075
Italy;Europe;1957;67.81;49182000;6248656232
Cambodia;Asia;1982;50.957;7272485;6244754784
Brunei;Asia;1982;71.62;199468;6240721057
Iraq;Asia;1957;48.437;6248643;6229333562
Belarus;FSU;2001;68.6;10350194;6225164179
Algeria;Africa;2007;72.301;33333216;6223367465
Spain;Europe;1963;69.85;31429834;6221104643
Liberia;Africa;1957;39.486;975950;6209699901
Barbados;;1962;65.87;228747;6204489468
Hong Kong  China;;1967;70.0;3722800;6197962814
Latvia;FSU;1995;66.33;2488008;6191799537
Latvia;FSU;1994;65.53;2523532;6169897953
Bulgaria;Europe;1970;71.27;8489574;6162468503
Uruguay;Americas;1957;67.044;2424959;6150772969
Austria;Europe;1952;66.8;6927772;6137076492
Austria;Europe;1951;65.26;6935451;6124928282
Reunion;;1992;73.615;622191;6101255823
Latvia;FSU;1972;70.25;2401244;6095312282
Japan;Asia;1961;68.45;94943293;6094424202
Liberia;Africa;1997;42.221;2200725;6091739508
Vietnam;Asia;1952;40.412;26246839;6050664917
Hungary;Europe;1957;66.41;9839000;6040180011
Bosnia and Herzegovina;Europe;2002;74.09;4165416;6018975239
West Bank and Gaza;Asia;1992;69.718;2104779;6017654756
Belarus;FSU;1992;70.17;10306362;6014406075
Niger;Africa;2002;54.496;11140655;6010745012
Lebanon;Asia;1967;63.87;2186894;6006983042
Qatar;Asia;2002;74.256;793341;6001600239
Suriname;Americas;1992;68.608;402943;5974263637
Italy;Europe;1956;67.64;48921000;5958252391
Latvia;FSU;1993;66.78;2565708;5948957499
Cape Verde;Africa;1952;48.48;155037;5947341659
Peru;Americas;1972;55.448;13954700;5937827283
Belarus;FSU;2000;69.0;10366719;5936237819
Costa Rica;Americas;1977;70.75;2108457;5926876967
Kuwait;Asia;1977;69.343;1140357;5926547714
Kazakhstan;FSU;1992;65.359;16542063;5919908968
Thailand;Asia;2002;68.564;62806748;5913187529
Argentina;Americas;1952;62.485;17876956;5911315053
Portugal;Europe;1966;65.7;9108800;5911266372
Peru;Americas;2002;69.906;26769436;5909020073
Montenegro;Europe;1967;67.178;501035;5907850937
Rwanda;Africa;1997;36.087;7212583;5899445051
Slovenia;Europe;1957;67.85;1533070;5862276629
Thailand;Asia;1997;67.521;60216677;5852625497
Finland;Europe;1950;64.24;4008900;5845626316
Latvia;FSU;1971;70.57;2381641;5845609237
Cape Verde;Africa;1957;50.98;179516;5836337743
Mali;Africa;1972;39.977;5828158;5813688761
Niger;Africa;1997;51.313;9666252;5803052092
Slovak Republic;Europe;1956;68.37;3787111;5797496197
Poland;Europe;1964;68.8;30975520;5788405243
Ethiopia;Africa;1982;44.916;38111756;5778607471
Ecuador;Americas;2002;74.173;12921234;5773044512
South Africa;Africa;1962;49.951;18356657;5768729717
Guinea;Africa;1957;34.558;2876726;5762670245
Guinea-Bissau;Africa;2002;45.504;1332459;5757047176
Colombia;Americas;2002;71.682;41008227;5755259962
Mexico;Americas;1967;60.11;47995559;5754733883
Sierra Leone;Africa;1997;39.897;4578212;5746481576
Algeria;Africa;1982;61.368;20033753;5745160213
Italy;Europe;1955;68.25;48633000;5733705071
Austria;Europe;1950;64.88;6935100;5733098114
El Salvador;Americas;2007;71.878;6939688;5728353514
Liberia;Africa;1982;44.852;1956875;5721995694
Uruguay;Americas;1952;66.071;2252965;5716766744
Lebanon;Asia;1962;62.094;1886848;5714560611
Ukraine;FSU;1993;68.31;51887112;5704109297
Uruguay;Americas;1972;68.673;2829526;5703408898
Zimbabwe;Africa;1967;53.995;4995432;5697950712
Spain;Europe;1962;69.69;31158061;5693843879
Cuba;Americas;1967;68.29;8139332;5690268015
Turkey;Europe;1992;66.146;58179144;5678348271
Mozambique;Africa;1967;38.113;8680909;5666691539
Micronesia  Fed. Sts.;;1992;66.443;114694;5659930189
Bulgaria;Europe;1968;71.25;8369603;5639346751
Malawi;Africa;1992;49.42;10014249;5632000145
Costa Rica;Americas;1987;74.752;2799811;5629915318
Korea  Rep.;Asia;1982;67.123;39326000;5622942464
Trinidad and Tobago;Americas;1967;65.4;960155;5621368472
Uruguay;Americas;1962;68.253;2598466;5603357717
Belarus;FSU;1999;67.97;10382370;5602352725
Ireland;Europe;1957;68.9;2878220;5599077872
Poland;Europe;1963;68.57;30662122;5597456046
Taiwan;Asia;1977;70.59;16785196;5596519826
Cuba;Americas;1992;74.414;10723260;5592843963
Suriname;Americas;1997;68.976;420899;5589341453
Luxembourg;Europe;1998;77.01;426495;5578895866
Ethiopia;Africa;1977;44.51;34617799;5568083834
Mozambique;Africa;1962;36.161;7788944;5566863539
Burundi;Africa;1977;45.91;3834415;5561032651
Chile;Americas;1987;72.492;12463354;5547063754
Hungary;Europe;1956;66.04;9911000;5537722375
Slovak Republic;Europe;1955;67.84;3726601;5532033914
Belarus;FSU;1993;69.05;10360516;5528263371
Angola;Africa;1967;35.985;5247469;5522776375
Suriname;Americas;1987;68.242;382559;5508173487
Suriname;Americas;1972;64.04;381410;5504437533
Chile;Americas;1972;63.441;9717524;5494024437
Japan;Asia;1960;67.8;94091638;5488805469
South Africa;Africa;1957;47.985;16151549;5487104219
Nicaragua;Americas;1977;57.47;2554598;5486371089
Croatia;Europe;1962;67.13;4076557;5477890018
Latvia;FSU;1970;70.22;2361159;5470687438
Macao  China;Asia;2007;80.718;456989;5458982024
Mali;Africa;1967;38.487;5212416;5450098873
Colombia;Americas;1992;68.421;34202721;5444648617
Italy;Europe;1954;67.9;48299000;5436140736
Burkina Faso;Africa;1952;31.975;4469979;5432552413
Belarus;FSU;1998;68.38;10394407;5411861751
Ukraine;FSU;2004;67.73;47309706;5400284939
Israel;Asia;1957;67.84;1944401;5385278451
Lebanon;Asia;1987;67.926;3089353;5377091329
Brunei;Asia;1987;73.2;235357;5358590355
Panama;Americas;1977;68.681;1839782;5351912144
Poland;Europe;1962;67.64;30329617;5338752143
United Arab Emirates;Asia;1977;66.238;683672;5333517575
Bulgaria;Europe;1966;71.23;8258057;5325953431
Liberia;Africa;2002;43.753;2814651;5314823679
Cuba;Americas;1972;70.723;8831348;5305445256
Reunion;;1987;71.913;562035;5303377488
Ethiopia;Africa;2002;50.725;67946797;5300535319
Qatar;Asia;1997;71.895;667336;5293865287
Algeria;Africa;2002;70.994;31287142;5288040382
Portugal;Europe;1964;65.24;9122500;5278676878
Zimbabwe;Africa;1962;52.358;4277736;5272721818
Reunion;;1982;69.885;517810;5267219353
Hungary;Europe;1952;64.03;9504000;5263673816
Costa Rica;Americas;1982;73.45;2424367;5262734751
Luxembourg;Europe;1997;76.82;421014;5262289589
Malaysia;Asia;1987;69.5;16331785;5249802653
Eritrea;Africa;1982;43.89;2637297;5248758493
Jamaica;Americas;1962;65.61;1665128;5246107524
Micronesia  Fed. Sts.;;1997;67.056;106911;5238144022
Cambodia;Asia;1967;45.415;6960067;5234323142
Italy;Europe;1953;66.58;47957000;5222079917
Guinea-Bissau;Africa;1962;34.488;627820;5220343725
Eritrea;Africa;1987;46.453;2915959;5211341333
Ireland;Europe;1952;66.91;2952156;5210280328
Gambia;Africa;1957;32.065;323150;5209267111
Micronesia  Fed. Sts.;;1987;65.883;97727;5205100479
Zimbabwe;Africa;1957;50.469;3646340;5187642681
Guatemala;Americas;2007;70.259;12572928;5186050003
Cuba;Americas;1950;55.714;5784797;5180436272
Taiwan;Asia;1976;70.43;16450056;5169231377
Ethiopia;Africa;1967;42.115;27860297;5161186438
Ethiopia;Africa;1997;49.402;59861301;5158894013
El Salvador;Americas;1997;69.535;5783439;5154825496
Slovak Republic;Europe;1954;66.71;3661437;5150732006
Samoa;;2007;71.454;176615;5143615471
Hungary;Europe;1951;62.46;9423000;5135947955
Rwanda;Africa;1967;44.1;3451079;5109637142
West Bank and Gaza;Asia;1987;67.046;1691210;5107197384
Chile;Americas;1967;60.523;8858908;5106654313
Turkey;Europe;1987;63.108;52881328;5089043686
Georgia;;1977;69.634;4963464;5086053989
Slovak Republic;Europe;1952;64.36;3558137;5074659104
Ireland;Europe;1951;65.8;2959311;5069589769
Tonga;;2007;73.312;116921;5063975838
Liberia;Africa;1987;46.027;2269414;5061138573
Eritrea;Africa;1977;44.535;2512642;5057538077
Reunion;;1972;64.274;461633;5047658563
Algeria;Africa;1992;67.744;26298373;5023216647
Mozambique;Africa;1977;42.495;11127868;5023197334
Slovak Republic;Europe;1953;65.66;3598761;4999307811
Belarus;FSU;1997;68.37;10404210;4987788391
Lesotho;Africa;1967;48.492;996380;4986390265
Brazil;Americas;1972;59.504;100840058;4985711467
Serbia;Europe;1957;61.685;7271135;4981090891
Gabon;Africa;1957;38.999;434904;4976198099
Portugal;Europe;1963;65.02;9081600;4974495622
Slovak Republic;Europe;1951;61.31;3508698;4970411872
Cambodia;Asia;1962;43.415;6083619;4969136476
Mali;Africa;1962;36.936;4690372;4961743428
China;Asia;2007;72.961;1318683096;4959114854
Belarus;FSU;1973;72.71;9236465;4958608124
Peru;Americas;1962;49.096;10516500;4957037982
Malawi;Africa;1967;39.487;4147252;4955147806
Poland;Europe;1959;65.53;29152334;4948301085
Grenada;;1987;66.002;92719;4947827429
Armenia;;2007;71.965;2971650;4942543911
Aruba;;1972;70.941;59461;4939758007
Slovak Republic;Europe;1950;60.89;3463446;4937839017
Norway;Europe;2007;80.196;4627926;4935719017
Rwanda;Africa;1952;40.0;2534927;4933238752
Malaysia;Asia;1982;68.0;14441916;4920355951
Brunei;Asia;1992;74.471;273701;4917440543
Greece;Europe;1957;67.86;8096218;4916299889
Luxembourg;Europe;1996;76.5;415566;4900558853
Japan;Asia;1959;67.51;93296566;4893312509
Brunei;Asia;2002;76.315;350898;4890634894
Poland;Europe;1958;65.92;28692576;4885491828
Guatemala;Americas;1977;56.029;5703430;4879992748
Congo  Rep.;Africa;1982;56.695;1774735;4879507522
Tunisia;Africa;1997;71.973;9231669;4876798614
Belarus;FSU;1994;68.82;10387841;4868615987
Gambia;Africa;1952;30.0;284320;4852306591
Lebanon;Asia;1952;55.928;1439529;4834804067
Luxembourg;Europe;1994;76.37;403756;4828401468
Brunei;Asia;2007;77.118;386511;4801458767
Algeria;Africa;1997;69.152;29072015;4797295051
Angola;Africa;2007;42.731;12420476;4797231267
Mauritius;Africa;1987;68.74;1042663;4783586903
Ukraine;FSU;2003;67.87;47668303;4781145856
Bosnia and Herzegovina;Europe;1997;73.244;3607000;4766355904
Jamaica;Americas;1957;62.61;1535090;4756525781
Egypt;Africa;2002;69.806;73312559;4754604414
Bhutan;Asia;2007;65.625;2327849;4744640019
Romania;Europe;1962;66.8;18680721;4734997586
Poland;Europe;1957;65.77;28235346;4734253019
Portugal;Europe;1962;64.39;9019800;4727954889
Bulgaria;Europe;1964;71.14;8144339;4721863908
Oman;Asia;1967;46.988;714775;4720942687
Spain;Europe;1958;68.85;30106188;4720206871
Italy;Europe;1951;65.31;47418000;4719636757
Singapore;Asia;2007;79.972;4553009;4714317964
Kazakhstan;FSU;1997;62.959;15484518;4709057407
Luxembourg;Europe;1993;75.75;398084;4705553084
Nicaragua;Americas;1972;55.151;2182908;4688593267
Mozambique;Africa;1952;31.286;6446316;4685260381
Guatemala;Americas;1997;66.322;9803875;4684313807
Latvia;FSU;1969;70.2;2341871;4651532907
Montenegro;Europe;1962;63.728;474528;4649593785
Burundi;Africa;1972;44.057;3529983;4640995039
Burundi;Africa;1997;45.326;6121610;4631151478
Mozambique;Africa;1982;42.795;12587223;4622114149
Taiwan;Asia;1975;70.07;16122188;4618243589
Latvia;FSU;1968;70.46;2322031;4596577322
Mexico;Americas;1962;58.299;41121485;4581609385
Ecuador;Americas;1967;56.678;5432424;4579074215
Congo  Dem. Rep.;Africa;1992;45.548;41672143;4577191807
Luxembourg;Europe;1991;75.47;387152;4575052091
Dominican Republic;Americas;2002;70.847;8650322;4563808154
Mali;Africa;1952;33.685;3838168;4523369807
El Salvador;Americas;1972;58.207;3790903;4520246008
Jordan;Asia;2007;72.535;6053193;4519461171
Chile;Americas;1962;57.924;7961258;4519094331
West Bank and Gaza;Asia;2002;72.37;3389578;4515487575
Swaziland;Africa;2007;39.613;1133066;4513480643
Norway;Europe;2003;79.61;4555400;4493755365
Taiwan;Asia;1974;69.81;15824103;4481238056
Belarus;FSU;1996;68.56;10408773;4475405604
Iraq;Asia;2007;59.545;27499638;4471061906
Norway;Europe;2002;79.05;4535591;4468397525
Burundi;Africa;2002;47.36;7021078;4464035126
Spain;Europe;1956;66.82;29579142;4462540356
Italy;Europe;1950;65.77;47105000;4461067193
Jordan;Asia;1987;65.869;2820042;4448679912
Peru;Americas;1992;66.458;22430449;4446380924
Latvia;FSU;1967;70.82;2301371;4444343948
Samoa;;2002;70.033;178631;4435874667
Tonga;;1997;71.145;97399;4432969328
Portugal;Europe;1961;62.87;9031200;4428041583
Norway;Europe;2001;78.98;4515195;4422320205
Panama;Americas;1967;64.071;1405486;4421009084
Ukraine;FSU;1994;67.7;51637611;4419117751
Bulgaria;Europe;1963;70.34;8078145;4412810322
Colombia;Americas;1982;66.653;27764644;4397575659
Georgia;;2007;70.987;4646003;4386560389
El Salvador;Americas;1967;55.855;3232927;4358595393
Belarus;FSU;1995;68.43;10403989;4355509243
Croatia;Europe;1957;64.77;3991242;4338231617
West Bank and Gaza;Asia;1982;64.406;1425876;4336032082
Ukraine;FSU;2002;67.81;48058877;4334816758
Tunisia;Africa;1992;70.001;8523077;4332720164
Reunion;;1977;67.064;492095;4319804067
Japan;Asia;1957;65.5;91563009;4317694365
Chile;Americas;1957;56.074;7048426;4315622723
Bosnia and Herzegovina;Europe;1987;71.14;4338977;4314114757
Burundi;Africa;2007;49.58;8390505;4300706916
United States;Americas;2007;78.242;301139947;4295165309
Gabon;Africa;1952;37.003;420702;4293476475
Malawi;Africa;1962;38.41;3628608;4279010856
Angola;Africa;1962;34.0;4826015;4269276742
Turkey;Europe;1977;59.507;42404033;4269122326
Paraguay;Americas;1982;66.874;3366439;4258503604
Bulgaria;Europe;1962;69.51;8012946;4254337839
Norway;Europe;1999;78.47;4463377;4249108975
Paraguay;Americas;1997;69.4;5154123;4247400261
Luxembourg;Europe;1990;75.4;382966;4246763837
Guatemala;Americas;1987;60.782;7326406;4246485974
